x;y;gid;Name;x2-x1;y2-y1;x^2;y^2;x^2+y^2;Distancia(km);Distancia(M);entero
-73,638332;4,157526;1;Glorieta La Grama;0,00088;0,000663;7,744E-07;4,39569E-07;1,21397E-06;0,001101803;1,101802614;1
-73,637452;4,158189;2;Av Llano;-0,000429;-0,001273;1,84041E-07;1,62053E-06;1,80457E-06;0,001343343;1,343342845;1
-73,637881;4,156916;3;Av Alfonso Lopez;-0,000848;0,00122;7,19104E-07;1,4884E-06;2,2075E-06;0,001485767;1,485767142;1
-73,638729;4,158136;4;Vía Restrep;-0,000611;-0,000321;3,73321E-07;1,03041E-07;4,76362E-07;0,00069019;0,690189829;0
-73,63934;4,157815;5;Vía Bogot;-0,003198;-0,003007;1,02272E-05;9,04205E-06;1,92693E-05;0,004389676;4,389675728;4
-73,642538;4,154808;6;Cristo Rey;-0,000482;-0,001766;2,32324E-07;3,11876E-06;3,35108E-06;0,001830596;1,830595532;1
-73,64302;4,153042;7;Concha Acustica;0,003744;0,001627;1,40175E-05;2,64713E-06;1,66647E-05;0,004082238;4,082237744;4
-73,639276;4,154669;8;Parque Infantil;0,000676;-0,00259;4,56976E-07;6,7081E-06;7,16508E-06;0,002676766;2,676765959;2
-73,6386;4,152079;9;Catedral Primada;0,000354;-0,000546;1,25316E-07;2,98116E-07;4,23432E-07;0,000650717;0,650716528;0
-73,638246;4,151533;10;Parque Central;0,000461;-0,000395;2,12521E-07;1,56025E-07;3,68546E-07;0,00060708;0,607079896;0
-73,637785;4,151138;11;Banco de la Repúblic;0,002801;0,00107;7,8456E-06;1,1449E-06;8,9905E-06;0,002998416;2,998416415;2
-73,634984;4,152208;12;Almacen Ley;0,001652;-2,2E-05;2,7291E-06;4,84E-10;2,72959E-06;0,001652146;1,652146483;1
-73,633332;4,152186;13;Almacen YEP;0,000279;0,000353;7,7841E-08;1,24609E-07;2,0245E-07;0,000449944;0,449944441;0
-73,633053;4,152539;14;Hotel y Asadero;-0,002854;-0,000139;8,14532E-06;1,9321E-08;8,16464E-06;0,002857383;2,857382893;2
-73,635907;4,1524;15;Panadería La Veracru;-0,000247;-0,000396;6,1009E-08;1,56816E-07;2,17825E-07;0,000466717;0,466717259;0
-73,636154;4,152004;16;Panadería La Veracru;0,000429;-8E-05;1,84041E-07;6,4E-09;1,90441E-07;0,000436395;0,436395463;0
-73,635725;4,151924;17;CCial Marandua;-0,000724;-0,000492;5,24176E-07;2,42064E-07;7,6624E-07;0,000875351;0,875351358;0
-73,636449;4,151432;18;Ccial Centauros;0,000166;0,000235;2,7556E-08;5,5225E-08;8,2781E-08;0,000287717;0,287716875;0
-73,636283;4,151667;19;Pasaje Bolivar;0,003042;-0,000444;9,25376E-06;1,97136E-07;9,4509E-06;0,003074232;3,074231611;3
-73,633241;4,151223;20;Plaza San Isidro;-0,001223;-0,000621;1,49573E-06;3,85641E-07;1,88137E-06;0,00137163;1,371630417;1
-73,634464;4,150602;21;Iglesia Divino Niñ;-7,5E-05;0,002788;5,625E-09;7,77294E-06;7,77857E-06;0,002789009;2,789008605;2
-73,634539;4,15339;22;Av. Alfonso Lópe;-0,000247;-5,9E-05;6,1009E-08;3,481E-09;6,449E-08;0,000253949;0,253948814;0
-73,634786;4,153331;23;CCial Villajulia;-0,000869;-0,006179;7,55161E-07;3,818E-05;3,89352E-05;0,006239808;6,23980785;6
-73,635655;4,147152;24;Parque Banderas;-0,000837;0,000861;7,00569E-07;7,41321E-07;1,44189E-06;0,001200787;1,200787242;1
-73,636492;4,148013;25;Universidad del Meta;0,001325;0,000412;1,75563E-06;1,69744E-07;1,92537E-06;0,001387577;1,387576665;1
-73,635167;4,148425;26;Marca de posición 2;-0,000166;-0,001841;2,7556E-08;3,38928E-06;3,41684E-06;0,001848469;1,848468826;1
-73,635333;4,146584;27;Palacio de Justicia;0,001282;0,00038;1,64352E-06;1,444E-07;1,78792E-06;0,001337133;1,337132753;1
-73,634051;4,146964;28;Piscina Olimpica;-0,000896;0,000573;8,02816E-07;3,28329E-07;1,13114E-06;0,001063553;1,063553008;1
-73,634947;4,147537;29;Coliseo Cubierto;0,00147;-0,00038;2,1609E-06;1,444E-07;2,3053E-06;0,001518321;1,518321442;1
