id,X,Y
Centro Comercial Unicentro,4.141527245059058,-73.63449460258296
Universidad Santo Tomas,4.12231246231378,-73.6167590243816
Viva Centro Comercial,4.125550377492055,-73.63870677979345
Primavera Urbana Centro Comercial,4.134766590816899,-73.64045704376025
Parque de la Vida Cofrem,4.146160500817446,-73.62161447447407
Terminal de Transportes,4.132306187412549,-73.60390675242586
Parque La Llanura,4.135029090853674,-73.62189613050225
Parque Del Hacha,4.149895734973441,-73.63642491996787
Plaza Los Libertadores,4.151549451044003,-73.63831862463555
Profamilia,4.149751536364115,-73.64262195443413
Laboratorio Clinico Aracelly Arango,4.147451430640087,-73.63958940789675
CLINICA DE EXCELENCIA EN TRAUMA,4.147225004002922,-73.63992207398796
SERVICIOS DE SALUD UNLAB S.A.S,4.145108547180087,-73.64145706591509
Corporación Universitaria Autónoma de Nariño - AUNAR,4.102985930077223,-73.5910146529412
Universidad Cooperativa de Colombia,4.116030130740822,-73.6091514678338
Grupo Pimatex SAS,4.116276957510191,-73.60270736367247
Balneario Valles De Aragon,4.121498304374241,-73.5983834023674
Cerro Campestre Alto,4.127345023884574,-73.61057373904089
Centro Comercial Villacentro,4.133490902861062,-73.63778283379085
Glorieta La Grama,4.157526,-73.638332
Av Llano,4.158.189,-73.637452
Av Alfonso Lopez,4.156916,-73.637881
Vía Restrepo,4.158136,-73.638729
Vía Bogotá,4.157815,-73.63934
Cristo Rey,4.154808,-73.642538
Concha Acustica,4.153042,-7.364302
Parque Infantil,4.154669,-73.639276
Catedral Primada,4.152079,-73.6386
Parque Central,4.151533,-73.638246
Banco de la República,4.151138,-73.637785
Almacen Ley,4.152208,-73.634984
Almacen YEP,4.152186,-73.633332
Hotel y Asadero,4.152539,-73.633053
Panadería La Veracruz,41.524,-73.635907
Panadería La Veracruz,4.152004,-73.636154
CCial Marandua,4.151924,-73.635725
Ccial Centauros,4.151432,-73.636449
Pasaje Bolivar,4.151667,-73.636283
Plaza San Isidro,4.151223,-73.633241
Iglesia Divino Niño,4.150602,-73.634464
Av. Alfonso López,41.5339,-73.634539
CCial Villajulia,4.153.331,-73.634786
Parque Banderas,4.147.152,-73.635655
Universidad del Meta,4.148013,-73.636492
Marca de posición 26,4.148425,-73.635167
Palacio de Justicia,4.146584,-73.635333
Piscina Olimpica,4.146964,-73.634051
Coliseo Cubierto,4.147537,-73.634947
Teatro La voragines,4.147157,-73.633477
Gobernación del Meta,4.151485,-73.638836
El Porvenir,4.145.027	-73.633.992
Almacén Alkosto,4.144.203	-73.63344
Av Puerto López,4.143909,-73.634003
CCial Unicentro,4.142261,-73.634099
Cementerio Central,4.149367,-73.626444
Av. Catama,4.148361,-73.625109
Parque De La Vida,4.146349,-73.621402
Cedritos,4.144969,-73.615522
Asadero de Carne,4.147061,-73.617604
Barrio Cedritos,4.145627,-73.615522
Terminal De Transporte,4.132507,-73.604257
Vía Bogotá,4.131298,-73.605394
Av Los Maracos,4.132379,-7.360666
Estadio Macal,4.139955,-73.620286
Gaseosas Postobon,4.131833	-73.625511
Gaseosas Coca-Cola,4.132732,-73.62447
Wiskeria Pasarela,4.132647,-73.625736
CCial Villacentro,4.133642,-73.637516
Vía Puerto López,4.119409,-73.614171
Septima Brigada,4.11881,-73.615437
Vía Bogotá,4.118468,-73.6199
Manga de Coleo,4.124096,-73.575139
Parque Los Fundadores,4.122406,-73.642344
Discoteca Kuarzo,4.117986,-73.641261
Discoteca Capachos,4.111191,-73.653932
Hotel Don Lolo,4.135809,-73.637055
Clínica Saludcoop,4.137467,-73.637189
Av,4.0414193,-73.634706
